Employee,L,Ma,Mi,J,V
E0,none,none,D6,none,none
E1,none,D2,none,none,none
E2,D6,D3,D3,none,none
E3,D2,none,D4,none,none
E4,D0,D0,D1,none,none
E5,none,none,none,D0,none
E6,none,none,none,D4,none
E7,none,D1,none,none,none
E8,none,none,none,D1,D1
E9,none,D6,D7,none,none
E10,D4,D7,none,none,none
E11,D1,none,none,none,D8
E12,none,none,D2,D7,none
E13,none,none,none,none,D5
E14,D3,D4,D0,none,none
E15,none,none,D5,none,D3
E16,D8,none,none,none,none
E17,D5,D5,none,none,D2
E18,none,D8,D8,D8,D0
E19,none,none,none,D5,D4
