Employee,L,Ma,Mi,J,V
E0,none,none,D4,none,none
E1,none,D6,none,none,none
E2,D1,D8,D6,none,none
E3,D4,none,D1,none,none
E4,D2,D0,D0,none,none
E5,none,none,none,D0,none
E6,none,none,none,D1,none
E7,none,D5,none,none,none
E8,none,none,none,D4,D4
E9,none,D7,D8,none,none
E10,D6,D1,none,none,none
E11,D0,none,none,none,D8
E12,none,none,D2,D5,none
E13,none,none,none,none,D5
E14,D3,D3,D3,none,none
E15,none,none,D5,none,D3
E16,D8,none,none,none,none
E17,D5,D2,none,none,D2
E18,none,D4,D7,D8,D0
E19,none,none,none,D7,D1
