instance,method,seed,iters,top_k,C1,C2,C3,runtime_sec
instance1.json,ILS,1,500,3,36,29,-9,0.001058
instance1.json,ILS,2,500,3,38,32,-7,0.000227
instance1.json,ILS,3,500,3,36,34,-7,0.000221
instance1.json,ILS,4,500,3,38,30,-5,0.000217
instance1.json,ILS,5,500,3,37,31,-7,0.000226
instance1.json,ILS,6,500,3,36,30,-7,0.000225
instance1.json,ILS,7,500,3,37,32,-5,0.000226
instance1.json,ILS,8,500,3,38,32,-3,0.000261
instance1.json,ILS,9,500,3,36,32,-5,0.000353
instance1.json,ILS,10,500,3,38,32,-7,0.00025
instance1.json,SA,1,500,3,36,29,-9,0.00364
instance1.json,SA,2,500,3,38,32,-7,0.000783
instance1.json,SA,3,500,3,36,34,-7,0.000587
instance1.json,SA,4,500,3,38,30,-5,0.000587
instance1.json,SA,5,500,3,37,31,-7,0.000476
instance1.json,SA,6,500,3,36,30,-7,0.000534
instance1.json,SA,7,500,3,37,32,-5,0.000475
instance1.json,SA,8,500,3,38,32,-3,0.000567
instance1.json,SA,9,500,3,36,32,-5,0.000542
instance1.json,SA,10,500,3,38,32,-7,0.000815
instance10.json,ILS,1,500,3,217,139,-1,0.001647
instance10.json,ILS,2,500,3,217,142,-2,0.001897
instance10.json,ILS,3,500,3,215,134,-2,0.003077
instance10.json,ILS,4,500,3,216,135,-1,0.001654
instance10.json,ILS,5,500,3,217,132,-2,0.001501
instance10.json,ILS,6,500,3,216,159,-2,0.001413
instance10.json,ILS,7,500,3,216,127,-2,0.0014
instance10.json,ILS,8,500,3,218,145,-2,0.001373
instance10.json,ILS,9,500,3,216,148,-2,0.001682
instance10.json,ILS,10,500,3,217,143,-1,0.001502
instance10.json,SA,1,500,3,217,139,-1,0.00344
instance10.json,SA,2,500,3,217,142,-2,0.002422
instance10.json,SA,3,500,3,215,134,-2,0.00212
instance10.json,SA,4,500,3,216,135,-1,0.002117
instance10.json,SA,5,500,3,217,132,-2,0.002164
instance10.json,SA,6,500,3,216,159,-2,0.002452
instance10.json,SA,7,500,3,216,127,-2,0.002096
instance10.json,SA,8,500,3,218,145,-2,0.004803
instance10.json,SA,9,500,3,216,148,-2,0.002418
instance10.json,SA,10,500,3,217,143,-1,0.00211
instance2.json,ILS,1,500,3,41,35,-5,0.000281
instance2.json,ILS,2,500,3,40,37,-5,0.000235
instance2.json,ILS,3,500,3,38,40,-5,0.000239
instance2.json,ILS,4,500,3,42,37,-5,0.000222
instance2.json,ILS,5,500,3,42,40,-5,0.000225
instance2.json,ILS,6,500,3,38,37,-5,0.000224
instance2.json,ILS,7,500,3,43,37,-5,0.000224
instance2.json,ILS,8,500,3,41,39,-5,0.000216
instance2.json,ILS,9,500,3,41,34,-5,0.000225
instance2.json,ILS,10,500,3,42,36,-7,0.000221
instance2.json,SA,1,500,3,41,35,-5,0.00137
instance2.json,SA,2,500,3,40,37,-5,0.000855
instance2.json,SA,3,500,3,38,40,-5,0.000698
instance2.json,SA,4,500,3,42,37,-5,0.000573
instance2.json,SA,5,500,3,42,40,-5,0.000707
instance2.json,SA,6,500,3,38,37,-5,0.000756
instance2.json,SA,7,500,3,43,37,-5,0.000607
instance2.json,SA,8,500,3,41,39,-5,0.002634
instance2.json,SA,9,500,3,41,34,-5,0.000914
instance2.json,SA,10,500,3,42,36,-7,0.000756
instance3.json,ILS,1,500,3,91,68,-6,0.000518
instance3.json,ILS,2,500,3,93,67,-3,0.000488
instance3.json,ILS,3,500,3,91,71,-4,0.00048
instance3.json,ILS,4,500,3,90,63,-6,0.000452
instance3.json,ILS,5,500,3,92,67,-3,0.00045
instance3.json,ILS,6,500,3,91,64,-4,0.000453
instance3.json,ILS,7,500,3,91,64,-5,0.000446
instance3.json,ILS,8,500,3,89,67,-4,0.000444
instance3.json,ILS,9,500,3,91,63,-5,0.000444
instance3.json,ILS,10,500,3,89,66,-5,0.000449
instance3.json,SA,1,500,3,91,68,-6,0.001018
instance3.json,SA,2,500,3,93,67,-3,0.001479
instance3.json,SA,3,500,3,91,71,-4,0.001066
instance3.json,SA,4,500,3,90,63,-6,0.001055
instance3.json,SA,5,500,3,92,67,-3,0.000972
instance3.json,SA,6,500,3,91,64,-4,0.000947
instance3.json,SA,7,500,3,91,64,-5,0.002193
instance3.json,SA,8,500,3,89,67,-4,0.001612
instance3.json,SA,9,500,3,91,63,-5,0.001003
instance3.json,SA,10,500,3,89,66,-5,0.000984
instance4.json,ILS,1,500,3,92,68,-5,0.000515
instance4.json,ILS,2,500,3,91,61,-4,0.000479
instance4.json,ILS,3,500,3,90,71,-5,0.000476
instance4.json,ILS,4,500,3,94,60,-5,0.000461
instance4.json,ILS,5,500,3,92,66,-4,0.000485
instance4.json,ILS,6,500,3,93,64,-4,0.000473
instance4.json,ILS,7,500,3,92,70,-4,0.000465
instance4.json,ILS,8,500,3,93,66,-3,0.000468
instance4.json,ILS,9,500,3,94,74,-4,0.000467
instance4.json,ILS,10,500,3,92,61,-4,0.000467
instance4.json,SA,1,500,3,92,68,-5,0.001026
instance4.json,SA,2,500,3,91,61,-4,0.001442
instance4.json,SA,3,500,3,90,71,-5,0.000996
instance4.json,SA,4,500,3,94,60,-5,0.000923
instance4.json,SA,5,500,3,92,66,-4,0.00093
instance4.json,SA,6,500,3,93,64,-4,0.001477
instance4.json,SA,7,500,3,92,70,-4,0.001256
instance4.json,SA,8,500,3,93,66,-3,0.001486
instance4.json,SA,9,500,3,94,74,-4,0.000933
instance4.json,SA,10,500,3,92,61,-4,0.00096
instance5.json,ILS,1,500,3,154,108,-13,0.00087
instance5.json,ILS,2,500,3,152,120,-10,0.000819
instance5.json,ILS,3,500,3,153,116,-12,0.000805
instance5.json,ILS,4,500,3,153,108,-9,0.000801
instance5.json,ILS,5,500,3,150,116,-14,0.000785
instance5.json,ILS,6,500,3,153,112,-12,0.000784
instance5.json,ILS,7,500,3,154,115,-13,0.000775
instance5.json,ILS,8,500,3,153,112,-14,0.001051
instance5.json,ILS,9,500,3,154,121,-16,0.000864
instance5.json,ILS,10,500,3,154,105,-11,0.000845
instance5.json,SA,1,500,3,154,108,-13,0.001449
instance5.json,SA,2,500,3,152,120,-10,0.002681
instance5.json,SA,3,500,3,153,116,-12,0.001532
instance5.json,SA,4,500,3,153,108,-9,0.001452
instance5.json,SA,5,500,3,150,116,-14,0.001475
instance5.json,SA,6,500,3,153,112,-12,0.001579
instance5.json,SA,7,500,3,154,115,-13,0.001314
instance5.json,SA,8,500,3,153,112,-14,0.001552
instance5.json,SA,9,500,3,154,121,-16,0.001383
instance5.json,SA,10,500,3,154,105,-11,0.001371
instance6.json,ILS,1,500,3,156,121,-9,0.000949
instance6.json,ILS,2,500,3,157,121,-9,0.000834
instance6.json,ILS,3,500,3,155,109,-9,0.001399
instance6.json,ILS,4,500,3,156,120,-7,0.000971
instance6.json,ILS,5,500,3,155,118,-11,0.001346
instance6.json,ILS,6,500,3,157,103,-10,0.001365
instance6.json,ILS,7,500,3,154,126,-12,0.000876
instance6.json,ILS,8,500,3,155,103,-9,0.00082
instance6.json,ILS,9,500,3,155,116,-12,0.000819
instance6.json,ILS,10,500,3,155,101,-11,0.000821
instance6.json,SA,1,500,3,156,121,-9,0.00142
instance6.json,SA,2,500,3,157,121,-9,0.001418
instance6.json,SA,3,500,3,155,109,-9,0.001506
instance6.json,SA,4,500,3,156,120,-7,0.001234
instance6.json,SA,5,500,3,155,118,-11,0.001247
instance6.json,SA,6,500,3,157,103,-10,0.001233
instance6.json,SA,7,500,3,154,126,-12,0.003223
instance6.json,SA,8,500,3,155,103,-9,0.001382
instance6.json,SA,9,500,3,155,116,-12,0.001276
instance6.json,SA,10,500,3,155,101,-11,0.00126
instance7.json,ILS,1,500,3,191,111,-3,0.001226
instance7.json,ILS,2,500,3,191,118,-3,0.001109
instance7.json,ILS,3,500,3,188,123,-2,0.001098
instance7.json,ILS,4,500,3,188,132,-3,0.001095
instance7.json,ILS,5,500,3,193,120,-2,0.001086
instance7.json,ILS,6,500,3,190,121,-3,0.002191
instance7.json,ILS,7,500,3,190,122,-2,0.001148
instance7.json,ILS,8,500,3,191,116,-1,0.002262
instance7.json,ILS,9,500,3,190,122,-2,0.001175
instance7.json,ILS,10,500,3,192,114,-3,0.001119
instance7.json,SA,1,500,3,191,111,-3,0.001754
instance7.json,SA,2,500,3,191,118,-3,0.001748
instance7.json,SA,3,500,3,188,123,-2,0.001598
instance7.json,SA,4,500,3,188,132,-3,0.001609
instance7.json,SA,5,500,3,193,120,-2,0.001753
instance7.json,SA,6,500,3,190,121,-3,0.0016
instance7.json,SA,7,500,3,190,122,-2,0.00168
instance7.json,SA,8,500,3,191,116,-1,0.004798
instance7.json,SA,9,500,3,190,122,-2,0.001772
instance7.json,SA,10,500,3,192,114,-3,0.001687
instance8.json,ILS,1,500,3,182,121,-5,0.001339
instance8.json,ILS,2,500,3,182,110,-8,0.001078
instance8.json,ILS,3,500,3,181,109,-6,0.001054
instance8.json,ILS,4,500,3,181,120,-6,0.001052
instance8.json,ILS,5,500,3,183,133,-7,0.001042
instance8.json,ILS,6,500,3,182,130,-5,0.001047
instance8.json,ILS,7,500,3,180,112,-6,0.001473
instance8.json,ILS,8,500,3,181,115,-7,0.001873
instance8.json,ILS,9,500,3,180,125,-8,0.001333
instance8.json,ILS,10,500,3,181,124,-5,0.001066
instance8.json,SA,1,500,3,182,121,-5,0.002034
instance8.json,SA,2,500,3,182,110,-8,0.001709
instance8.json,SA,3,500,3,181,109,-6,0.001677
instance8.json,SA,4,500,3,181,120,-6,0.001796
instance8.json,SA,5,500,3,183,133,-7,0.00153
instance8.json,SA,6,500,3,182,130,-5,0.001545
instance8.json,SA,7,500,3,180,112,-6,0.00371
instance8.json,SA,8,500,3,181,115,-7,0.001702
instance8.json,SA,9,500,3,180,125,-8,0.001604
instance8.json,SA,10,500,3,181,124,-5,0.001973
instance9.json,ILS,1,500,3,217,135,-1,0.001499
instance9.json,ILS,2,500,3,217,142,-1,0.001339
instance9.json,ILS,3,500,3,216,138,-1,0.001335
instance9.json,ILS,4,500,3,218,139,-2,0.001331
instance9.json,ILS,5,500,3,217,138,-2,0.001325
instance9.json,ILS,6,500,3,220,136,-1,0.001318
instance9.json,ILS,7,500,3,220,132,-1,0.003759
instance9.json,ILS,8,500,3,218,132,-1,0.00143
instance9.json,ILS,9,500,3,220,146,-1,0.001372
instance9.json,ILS,10,500,3,219,149,-1,0.001371
instance9.json,SA,1,500,3,217,135,-1,0.002037
instance9.json,SA,2,500,3,217,142,-1,0.002177
instance9.json,SA,3,500,3,216,138,-1,0.002027
instance9.json,SA,4,500,3,218,139,-2,0.001974
instance9.json,SA,5,500,3,217,138,-2,0.004715
instance9.json,SA,6,500,3,220,136,-1,0.002052
instance9.json,SA,7,500,3,220,132,-1,0.002203
instance9.json,SA,8,500,3,218,132,-1,0.002106
instance9.json,SA,9,500,3,220,146,-1,0.001975
instance9.json,SA,10,500,3,219,149,-1,0.003448
